222, 62, 243, 94
263, 64, 293, 95
230, 57, 255, 96
230, 57, 255, 96
262, 64, 293, 96
221, 61, 242, 94
221, 61, 243, 94
230, 57, 255, 96
262, 63, 293, 96
221, 61, 243, 94
262, 63, 292, 95
229, 57, 255, 96
221, 61, 243, 94
263, 63, 293, 95
230, 58, 255, 96
222, 61, 243, 94
223, 64, 244, 94
224, 65, 244, 94
225, 65, 244, 94
224, 63, 243, 94
224, 65, 244, 94
225, 65, 244, 94
225, 65, 244, 94
222, 67, 242, 94
222, 66, 242, 94
222, 66, 242, 94
222, 66, 242, 94
222, 64, 242, 94
222, 65, 242, 94
222, 66, 242, 94
222, 66, 242, 94
222, 66, 241, 93
222, 65, 242, 94
228, 1, 297, 96
177, 0, 246, 97
179, 0, 246, 98
175, 1, 241, 98
175, 0, 241, 98
170, 0, 240, 98
146, 1, 215, 98
220, 66, 238, 94
144, 1, 211, 98
151, 0, 214, 98
223, 66, 241, 94
229, 60, 255, 96
152, 0, 213, 99
224, 66, 241, 94
229, 59, 255, 97
151, 0, 213, 98
229, 59, 255, 97
222, 65, 242, 94
151, 0, 213, 98
223, 65, 242, 94
229, 58, 255, 97
151, 0, 213, 99
229, 58, 255, 96
221, 63, 241, 94
156, 0, 216, 99
221, 64, 239, 94
229, 58, 255, 96
154, 0, 215, 99
220, 66, 239, 94
155, 0, 216, 99
219, 62, 239, 94
230, 57, 255, 97
155, 0, 216, 99
220, 63, 239, 94
229, 57, 256, 97
155, 0, 215, 99
220, 64, 238, 94
230, 58, 256, 97
154, 0, 214, 99
221, 66, 238, 94
229, 61, 255, 96
153, 0, 214, 98
221, 65, 240, 94
229, 58, 255, 96
153, 0, 214, 99
153, 0, 214, 98
154, 0, 214, 98
221, 64, 240, 94
229, 58, 255, 97
154, 0, 214, 99
221, 64, 239, 94
229, 58, 256, 96
144, 2, 207, 98
222, 62, 241, 94
229, 57, 255, 96
96, 1, 166, 96
223, 67, 242, 93
48, 0, 128, 99
222, 66, 241, 93
0, 0, 111, 100
223, 66, 241, 93
1, 0, 85, 101
223, 66, 242, 93
223, 66, 242, 93
3, 1, 82, 101
223, 66, 243, 93
2, 1, 85, 100
264, 61, 292, 95
222, 66, 242, 93
223, 65, 242, 93
223, 66, 242, 93
265, 62, 291, 95
222, 66, 242, 93
223, 66, 242, 93
2, 0, 88, 101
223, 66, 242, 93
1, 0, 93, 103
223, 66, 242, 93
263, 63, 292, 95
224, 66, 243, 93
223, 66, 243, 93
264, 62, 292, 95
223, 66, 242, 93
264, 62, 293, 96
224, 66, 243, 93
224, 66, 244, 93
263, 62, 293, 95
1, 4, 80, 102
224, 66, 244, 93
264, 62, 293, 95
2, 0, 82, 97
223, 58, 244, 84
1, 0, 80, 97
224, 66, 243, 93
1, 0, 80, 97
224, 65, 244, 93
2, 0, 81, 98
224, 67, 244, 93
224, 66, 243, 93
223, 66, 242, 93
223, 66, 243, 93
222, 59, 243, 84
224, 68, 243, 93
262, 63, 291, 96
1, 0, 84, 102
263, 64, 291, 97
222, 59, 244, 84
223, 68, 243, 92
264, 65, 291, 97
1, 0, 84, 103
221, 60, 243, 84
3, 0, 101, 101
264, 65, 291, 97
222, 59, 244, 84
113, 1, 202, 101
222, 67, 243, 92
264, 64, 290, 97
222, 67, 243, 93
222, 67, 243, 92
263, 64, 291, 97
263, 63, 291, 96
224, 67, 243, 93
223, 67, 243, 93
263, 64, 291, 97
263, 64, 291, 97
221, 59, 244, 84
262, 64, 290, 97
224, 67, 244, 93
262, 64, 291, 97
224, 66, 245, 93
263, 64, 291, 97
